GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),Engine Coolant Temperature(°F)
Thu Jul 20 17:13:27 GMT+02:00 2023,20-lip-2023 17:13:27.612,22.54808415,51.23971883,0.0,3.7900924682617188,222.342529296875,0.0,-0.07,0.55,0.72,80.59999871
Thu Jul 20 17:13:28 GMT+02:00 2023,20-lip-2023 17:13:28.614,22.54808434,51.2397211,0.0,3.7900924682617188,222.59429931640625,0.0,-0.01,0.49,0.76,80.59999871
Thu Jul 20 17:13:29 GMT+02:00 2023,20-lip-2023 17:13:29.615,22.54808381,51.23972181,0.0,3.7900924682617188,222.77923583984375,0.0,-0.08,0.57,0.69,80.59999871
Thu Jul 20 17:13:30 GMT+02:00 2023,20-lip-2023 17:13:30.616,22.54808483,51.23972257,0.0,9.935046195983887,222.713623046875,0.0,-0.12,0.61,0.67,80.59999871
Thu Jul 20 17:13:31 GMT+02:00 2023,20-lip-2023 17:13:31.615,22.54808631,51.2397241,0.0,9.935046195983887,222.74737548828125,0.0,0.27,0.75,0.5,80.59999871
Thu Jul 20 17:13:32 GMT+02:00 2023,20-lip-2023 17:13:32.616,22.54808226,51.2397223,1.0800000143051136,9.935046195983887,223.2025146484375,212.39999389648438,0.41,0.87,-0.09,82.39999866
Thu Jul 20 17:13:33 GMT+02:00 2023,20-lip-2023 17:13:33.616,22.54808419,51.23972373,0.0,9.935046195983887,223.41510009765625,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:34 GMT+02:00 2023,20-lip-2023 17:13:34.616,22.54808612,51.23972597,0.0,9.935046195983887,223.4481201171875,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:35 GMT+02:00 2023,20-lip-2023 17:13:35.617,22.54808903,51.23972687,0.0,9.935046195983887,223.18115234375,0.0,-0.01,0.99,-0.19,82.39999866
Thu Jul 20 17:13:36 GMT+02:00 2023,20-lip-2023 17:13:36.618,22.54808907,51.23972881,0.0,9.935046195983887,223.05853271484375,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:37 GMT+02:00 2023,20-lip-2023 17:13:37.619,22.54809152,51.23972756,0.0,9.935046195983887,222.943359375,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:38 GMT+02:00 2023,20-lip-2023 17:13:38.620,22.54809339,51.2397282,0.0,9.935046195983887,222.7191162109375,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:39 GMT+02:00 2023,20-lip-2023 17:13:39.621,22.5480953,51.23973104,0.0,9.935046195983887,222.73797607421875,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:40 GMT+02:00 2023,20-lip-2023 17:13:40.621,22.54809451,51.23973395,0.0,9.935046195983887,222.53173828125,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:41 GMT+02:00 2023,20-lip-2023 17:13:41.622,22.54809748,51.23973633,0.0,9.935046195983887,222.39697265625,0.0,-0.02,0.99,-0.18,82.39999866
Thu Jul 20 17:13:42 GMT+02:00 2023,20-lip-2023 17:13:42.622,22.54809571,51.23973994,0.0,9.935046195983887,222.470947265625,0.0,-0.02,0.99,-0.19,82.39999866
Thu Jul 20 17:13:43 GMT+02:00 2023,20-lip-2023 17:13:43.624,22.54809711,51.23974314,0.0,9.935046195983887,222.51116943359375,0.0,-0.02,0.99,-0.19,84.19999862
Thu Jul 20 17:13:44 GMT+02:00 2023,20-lip-2023 17:13:44.623,22.54810091,51.23974193,0.0,9.935046195983887,222.52197265625,0.0,-0.02,0.99,-0.19,84.19999862
Thu Jul 20 17:13:45 GMT+02:00 2023,20-lip-2023 17:13:45.626,22.54810124,51.23974373,0.0,9.935046195983887,222.51171875,0.0,-0.02,0.99,-0.19,84.19999862
Thu Jul 20 17:13:46 GMT+02:00 2023,20-lip-2023 17:13:46.626,22.54810039,51.23974543,0.0,9.935046195983887,222.67327880859375,0.0,-0.02,0.99,-0.18,84.19999862
Thu Jul 20 17:13:47 GMT+02:00 2023,20-lip-2023 17:13:47.626,22.548101,51.23974429,0.0,9.935046195983887,222.7288818359375,0.0,-0.02,0.99,-0.19,84.19999862
Thu Jul 20 17:13:48 GMT+02:00 2023,20-lip-2023 17:13:48.627,22.54810036,51.23974627,0.0,9.935046195983887,222.76312255859375,0.0,-0.02,0.99,-0.19,84.19999862
Thu Jul 20 17:13:49 GMT+02:00 2023,20-lip-2023 17:13:49.627,22.54810443,51.23974538,0.0,9.935046195983887,222.44256591796875,0.0,-0.02,0.99,-0.18,84.19999862
Thu Jul 20 17:13:50 GMT+02:00 2023,20-lip-2023 17:13:50.628,22.54810402,51.23974626,0.0,9.935046195983887,222.4144287109375,0.0,-0.02,0.99,-0.19,84.19999862
Thu Jul 20 17:13:51 GMT+02:00 2023,20-lip-2023 17:13:51.630,22.54810318,51.2397473,0.0,9.935046195983887,222.21527099609375,0.0,-0.02,0.99,-0.19,85.99999857
Thu Jul 20 17:13:52 GMT+02:00 2023,20-lip-2023 17:13:52.630,22.54810491,51.23974831,0.0,9.935046195983887,222.2333984375,0.0,-0.02,0.99,-0.18,85.99999857
Thu Jul 20 17:13:53 GMT+02:00 2023,20-lip-2023 17:13:53.632,22.54810461,51.2397495,0.0,9.935046195983887,222.006103515625,0.0,-0.02,0.99,-0.18,85.99999857
Thu Jul 20 17:13:54 GMT+02:00 2023,20-lip-2023 17:13:54.632,22.54810579,51.2397488,0.0,9.935046195983887,221.88232421875,0.0,-0.02,0.99,-0.19,85.99999857
Thu Jul 20 17:13:55 GMT+02:00 2023,20-lip-2023 17:13:55.634,22.54810771,51.23974767,0.0,9.935046195983887,221.77880859375,0.0,-0.02,0.99,-0.19,85.99999857
Thu Jul 20 17:13:56 GMT+02:00 2023,20-lip-2023 17:13:56.635,22.54810769,51.23974744,0.0,9.935046195983887,221.79986572265625,0.0,-0.02,0.99,-0.18,85.99999857
Thu Jul 20 17:13:57 GMT+02:00 2023,20-lip-2023 17:13:57.635,22.54810708,51.23974712,0.0,9.935046195983887,221.86798095703125,0.0,-0.02,0.99,-0.19,85.99999857
Thu Jul 20 17:13:58 GMT+02:00 2023,20-lip-2023 17:13:58.637,22.54810689,51.23974672,0.0,9.935046195983887,221.91851806640625,0.0,-0.02,0.99,-0.19,85.99999857
